time;V(Net-_Q1-G_);
0.000447267;4.06886;
0.000447277;4.144;
0.000447286;4.19919;
0.000447295;4.24827;
0.000447299;4.26477;
0.000447301;4.2747;
0.000447302;4.27807;
0.000447302;4.27945;
0.000447302;4.28016;
0.000447303;4.28068;
0.000447303;4.28119;
0.000447303;4.28173;
0.000447303;4.28224;
0.000447303;4.28278;
0.000447303;4.28329;
0.000447303;4.2838;
0.000447303;4.2843;
0.000447304;4.28476;
0.000447304;4.28518;
0.000447304;4.28553;
0.000447304;4.28584;
0.000447305;4.28626;
0.000447305;4.28719;
0.000447306;4.28946;
0.000447307;4.29475;
0.000447308;4.3019;
0.00044731;4.31039;
0.000447311;4.31853;
0.000447312;4.32554;
0.000447314;4.33266;
0.000447318;4.34609;
0.000447323;4.36601;
0.000447329;4.38507;
0.00044734;4.41829;
0.00044736;4.46497;
0.000447367;4.47986;
0.000447371;4.49639;
0.000447373;4.51488;
0.000447374;4.53265;
0.000447374;4.54544;
0.000447375;4.5621;
0.000447376;4.58204;
0.000447377;4.60849;
0.000447378;4.63664;
0.00044738;4.67806;
0.000447382;4.72053;
0.000447384;4.77835;
0.000447387;4.84042;
0.000447391;4.92113;
0.000447395;5.00756;
0.0004474;5.11542;
0.000447406;5.23368;
0.000447414;5.37634;
0.000447422;5.53299;
0.000447433;5.71792;
0.000447445;5.91728;
0.00044746;6.14488;
0.000447475;6.36166;
0.000447491;6.57976;
0.000447507;6.79171;
0.000447522;6.9736;
0.000447537;7.15359;
0.000447556;7.35769;
0.000447576;7.56472;
0.000447605;7.84871;
0.000447639;8.13883;
0.000447677;8.43634;
0.000447718;8.71499;
0.000447762;8.9715;
0.000447811;9.21781;
0.000447868;9.46071;
0.000447937;9.69963;
0.000448021;9.92693;
0.00044812;10.1279;
0.000448219;10.2745;
0.000448303;10.3681;
0.000448394;10.4462;
0.00044852;10.5251;
0.000448636;10.5767;
0.000448753;10.6142;
0.000448903;10.6476;
0.000449051;10.6693;
0.000449203;10.6838;
0.000449346;10.6927;
0.000449492;10.6985;
0.000449607;10.7015;
0.000449718;10.7035;
0.000449817;10.7047;
0.000449913;10.7055;
0.000450021;10.7061;
0.000450133;10.7065;
0.000450248;10.7068;
0.00045036;10.7069;
0.000450473;10.7069;
0.000450579;10.7069;
0.000450683;10.7069;
0.000450773;10.7069;
0.000450867;10.7069;
0.000450947;10.7068;
0.00045103;10.7068;
0.000451104;10.7068;
0.00045118;10.7068;
0.000451258;10.7068;
0.00045133;10.7068;
0.000451411;10.7068;
0.000451486;10.7068;
0.000451572;10.7068;
0.000451656;10.7067;
0.000451752;10.7067;
0.000451847;10.7067;
0.000451959;10.7067;
0.000452082;10.7067;
0.000452236;10.7067;
0.00045242;10.7067;
0.000452688;10.7067;
0.000453034;10.7067;
0.000453516;10.7067;
0.000453741;10.7067;
0.000453893;10.7067;
0.000454116;10.7067;
0.000454231;10.7067;
0.000454332;10.7067;
0.000454462;10.7067;
0.000454604;10.7067;
0.00045476;10.7067;
0.000454938;10.7067;
0.000455163;10.7067;
0.000455379;10.7067;
0.000455554;10.7067;
0.00045573;10.7067;
0.000455928;10.7067;
0.000456238;10.7067;
0.000456553;10.7067;
0.000457016;10.7067;
0.000457466;10.7067;
0.000458136;10.7067;
0.000458815;10.7067;
0.00045989;10.7067;
0.000461043;10.7067;
0.000463067;10.7067;
0.000465174;10.7067;
0.000469387;10.7067;
0.000476639;10.7067;
0.000486639;10.7067;
0.000496122;10.7067;
0.000506122;10.7067;
0.000516122;10.7067;
0.000526122;10.7067;
0.000529591;10.7067;
0.000531824;10.7067;
0.000533669;10.7067;
0.000536039;10.7067;
0.000538811;10.7067;
0.000541747;10.7067;
0.000545065;10.7067;
0.000546713;10.7067;
0.000547744;10.7067;
0.000548382;10.7067;
0.000548863;10.7067;
0.0005494;10.7067;
0.000549796;10.7067;
0.000550205;10.7067;
0.000550592;10.7067;
0.000551311;10.7067;
0.00055187;10.7067;
0.000552426;10.7067;
0.000552985;10.7067;
0.000553423;10.7067;
0.000553739;10.7067;
0.000553964;10.7067;
0.000554145;10.7067;
0.000554322;10.7067;
0.000554515;10.7067;
0.000554745;10.7067;
0.000555063;10.7067;
0.000555188;10.7067;
0.000555258;10.7067;
0.000555329;10.7067;
0.000555382;10.7067;
0.000555442;10.7067;
0.000555497;10.7067;
0.000555553;10.7067;
0.000555577;10.7067;
0.000555593;10.7067;
